contig	length	type
10_AE1712_C14_N14_19_200m_v_NODE_666_length_16079_cov_11.301775	16079	s
10_AE1712_C14_N14_19_200m_v_NODE_668_length_16021_cov_14.188284	16021	s
10_AE1712_C14_N14_19_200m_v_NODE_669_length_16006_cov_18.636826	16006	s
10_AE1712_C14_N14_19_200m_v_NODE_671_length_15964_cov_10.540505	15964	s
10_AE1712_C14_N14_19_200m_v_NODE_674_length_15901_cov_31.539434	15901	s
10_AE1712_C14_N14_19_200m_v_NODE_677_length_15872_cov_16.398417	15872	s
10_AE1712_C14_N14_19_200m_v_NODE_679_length_15863_cov_22.507665	15863	s
10_AE1712_C14_N14_19_200m_v_NODE_683_length_15829_cov_19.560310	15829	s
10_AE1712_C14_N14_19_200m_v_NODE_684_length_15822_cov_20.924802	15822	s
10_AE1712_C14_N14_19_200m_v_NODE_686_length_15776_cov_19.841327	15776	s
10_AE1712_C14_N14_19_200m_v_NODE_690_length_15653_cov_7.480868	15653	s
10_AE1712_C14_N14_19_200m_v_NODE_691_length_15637_cov_9.350707	15637	s
10_AE1712_C14_N14_19_200m_v_NODE_692_length_15615_cov_5.423092	15615	s
10_AE1712_C14_N14_19_200m_v_NODE_694_length_15608_cov_8.775546	15608	s
10_AE1712_C14_N14_19_200m_v_NODE_696_length_15597_cov_12.340206	15597	s
10_AE1712_C14_N14_19_200m_v_NODE_698_length_15504_cov_28.638815	15504	s
10_AE1712_C14_N14_19_200m_v_NODE_699_length_15471_cov_11.900351	15471	s
10_AE1712_C14_N14_19_200m_v_NODE_700_length_15463_cov_10.389445	15463	s
10_AE1712_C14_N14_19_200m_v_NODE_704_length_15390_cov_6.192059	15390	s
10_AE1712_C14_N14_19_200m_v_NODE_714_length_15246_cov_7.698332	15246	s
10_AE1712_C14_N14_19_200m_v_NODE_716_length_15233_cov_13.622658	15233	s
10_AE1712_C14_N14_19_200m_v_NODE_717_length_15219_cov_10.613195	15219	s
10_AE1712_C14_N14_19_200m_v_NODE_720_length_15206_cov_11.157380	15206	s
10_AE1712_C14_N14_19_200m_v_NODE_725_length_15091_cov_28.881444	15091	s
10_AE1712_C14_N14_19_200m_v_NODE_730_length_15047_cov_9.231329	15047	s
10_AE1712_C14_N14_19_200m_v_NODE_736_length_14878_cov_7.675698	14878	s
10_AE1712_C14_N14_19_200m_v_NODE_737_length_14870_cov_10.740688	14870	s
10_AE1712_C14_N14_19_200m_v_NODE_738_length_14841_cov_16.880588	14841	s
10_AE1712_C14_N14_19_200m_v_NODE_739_length_14837_cov_21.312534	14837	s
10_AE1712_C14_N14_19_200m_v_NODE_748_length_14739_cov_69.294162	14739	s
10_AE1712_C14_N14_19_200m_v_NODE_751_length_14729_cov_9.489694	14729	s
10_AE1712_C14_N14_19_200m_v_NODE_753_length_14718_cov_10.029779	14718	s
10_AE1712_C14_N14_19_200m_v_NODE_754_length_14715_cov_18.797787	14715	s
10_AE1712_C14_N14_19_200m_v_NODE_755_length_14697_cov_9.125445	14697	s
10_AE1712_C14_N14_19_200m_v_NODE_757_length_14682_cov_10.355084	14682	s
10_AE1712_C14_N14_19_200m_v_NODE_760_length_14631_cov_10.543356	14631	s
10_AE1712_C14_N14_19_200m_v_NODE_761_length_14630_cov_9.874802	14630	s
10_AE1712_C14_N14_19_200m_v_NODE_764_length_14589_cov_21.599986	14589	s
10_AE1712_C14_N14_19_200m_v_NODE_765_length_14584_cov_12.785483	14584	s
10_AE1712_C14_N14_19_200m_v_NODE_768_length_14550_cov_10.112140	14550	s
10_AE1712_C14_N14_19_200m_v_NODE_769_length_14522_cov_74.791970	14522	s
10_AE1712_C14_N14_19_200m_v_NODE_772_length_14488_cov_12.787662	14488	s
10_AE1712_C14_N14_19_200m_v_NODE_773_length_14462_cov_7.748001	14462	s
10_AE1712_C14_N14_19_200m_v_NODE_774_length_14453_cov_9.077421	14453	s
10_AE1712_C14_N14_19_200m_v_NODE_776_length_14349_cov_6.601107	14349	s
10_AE1712_C14_N14_19_200m_v_NODE_780_length_14307_cov_36.446030	14307	s
10_AE1712_C14_N14_19_200m_v_NODE_782_length_14301_cov_7.511670	14301	s
10_AE1712_C14_N14_19_200m_v_NODE_784_length_14276_cov_13.834918	14276	s
10_AE1712_C14_N14_19_200m_v_NODE_787_length_14246_cov_6.356553	14246	s
10_AE1712_C14_N14_19_200m_v_NODE_789_length_14183_cov_7.283284	14183	s
10_AE1712_C14_N14_19_200m_v_NODE_790_length_14170_cov_6.078479	14170	s
10_AE1712_C14_N14_19_200m_v_NODE_791_length_14167_cov_11.606529	14167	s
10_AE1712_C14_N14_19_200m_v_NODE_792_length_14165_cov_16.891184	14165	s
10_AE1712_C14_N14_19_200m_v_NODE_796_length_14075_cov_17.544006	14075	s
10_AE1712_C14_N14_19_200m_v_NODE_799_length_14012_cov_9.961320	14012	s
10_AE1712_C14_N14_19_200m_v_NODE_801_length_13982_cov_8.639914	13982	s
10_AE1712_C14_N14_19_200m_v_NODE_803_length_13973_cov_12.675950	13973	s
10_AE1712_C14_N14_19_200m_v_NODE_807_length_13899_cov_8.421791	13899	s
10_AE1712_C14_N14_19_200m_v_NODE_808_length_13889_cov_30.846800	13889	s
10_AE1712_C14_N14_19_200m_v_NODE_810_length_13853_cov_10.249710	13853	s
10_AE1712_C14_N14_19_200m_v_NODE_811_length_13846_cov_26.443460	13846	s
10_AE1712_C14_N14_19_200m_v_NODE_814_length_13829_cov_7.779014	13829	s
10_AE1712_C14_N14_19_200m_v_NODE_818_length_13803_cov_11.443975	13803	s
10_AE1712_C14_N14_19_200m_v_NODE_823_length_13756_cov_8.050735	13756	s
10_AE1712_C14_N14_19_200m_v_NODE_836_length_13597_cov_6.440163	13597	s
10_AE1712_C14_N14_19_200m_v_NODE_837_length_13596_cov_10.944005	13596	s
10_AE1712_C14_N14_19_200m_v_NODE_838_length_13593_cov_8.266203	13593	s
10_AE1712_C14_N14_19_200m_v_NODE_841_length_13580_cov_9.369029	13580	s
10_AE1712_C14_N14_19_200m_v_NODE_842_length_13568_cov_7.966126	13568	s
10_AE1712_C14_N14_19_200m_v_NODE_844_length_13544_cov_7.043440	13544	s
10_AE1712_C14_N14_19_200m_v_NODE_848_length_13455_cov_12.600613	13455	s
10_AE1712_C14_N14_19_200m_v_NODE_849_length_13449_cov_10.739979	13449	s
10_AE1712_C14_N14_19_200m_v_NODE_852_length_13388_cov_29.284952	13388	s
10_AE1712_C14_N14_19_200m_v_NODE_856_length_13315_cov_16.279347	13315	s
10_AE1712_C14_N14_19_200m_v_NODE_860_length_13266_cov_13.992721	13266	s
10_AE1712_C14_N14_19_200m_v_NODE_862_length_13258_cov_27.805250	13258	s
10_AE1712_C14_N14_19_200m_v_NODE_863_length_13257_cov_18.973065	13257	s
10_AE1712_C14_N14_19_200m_v_NODE_864_length_13216_cov_7.435726	13216	s
10_AE1712_C14_N14_19_200m_v_NODE_865_length_13213_cov_12.220615	13213	s
10_AE1712_C14_N14_19_200m_v_NODE_867_length_13203_cov_16.752171	13203	s
10_AE1712_C14_N14_19_200m_v_NODE_868_length_13167_cov_10.380443	13167	s
10_AE1712_C14_N14_19_200m_v_NODE_876_length_12969_cov_7.059805	12969	s
10_AE1712_C14_N14_19_200m_v_NODE_879_length_12938_cov_8.322059	12938	s
10_AE1712_C14_N14_19_200m_v_NODE_880_length_12929_cov_22.839791	12929	s
10_AE1712_C14_N14_19_200m_v_NODE_881_length_12916_cov_16.619207	12916	s
10_AE1712_C14_N14_19_200m_v_NODE_886_length_12846_cov_6.122093	12846	s
10_AE1712_C14_N14_19_200m_v_NODE_888_length_12814_cov_22.820680	12814	s
10_AE1712_C14_N14_19_200m_v_NODE_889_length_12799_cov_5.868653	12799	s
10_AE1712_C14_N14_19_200m_v_NODE_890_length_12796_cov_12.940011	12796	s
10_AE1712_C14_N14_19_200m_v_NODE_892_length_12790_cov_26.993078	12790	s
10_AE1712_C14_N14_19_200m_v_NODE_898_length_12674_cov_39.002937	12674	s
10_AE1712_C14_N14_19_200m_v_NODE_906_length_12552_cov_10.619639	12552	s
10_AE1712_C14_N14_19_200m_v_NODE_907_length_12530_cov_20.824942	12530	s
10_AE1712_C14_N14_19_200m_v_NODE_910_length_12498_cov_14.241526	12498	s
10_AE1712_C14_N14_19_200m_v_NODE_913_length_12459_cov_14.280326	12459	s
10_AE1712_C14_N14_19_200m_v_NODE_914_length_12441_cov_6.912731	12441	s
10_AE1712_C14_N14_19_200m_v_NODE_916_length_12424_cov_6.977079	12424	s
10_AE1712_C14_N14_19_200m_v_NODE_920_length_12378_cov_5.513048	12378	s
10_AE1712_C14_N14_19_200m_v_NODE_924_length_12350_cov_14.808278	12350	s
10_AE1712_C14_N14_19_200m_v_NODE_926_length_12345_cov_6.122269	12345	s
10_AE1712_C14_N14_19_200m_v_NODE_929_length_12293_cov_12.661182	12293	s
10_AE1712_C14_N14_19_200m_v_NODE_931_length_12279_cov_10.525570	12279	s
10_AE1712_C14_N14_19_200m_v_NODE_932_length_12278_cov_7.236866	12278	s
10_AE1712_C14_N14_19_200m_v_NODE_934_length_12263_cov_50.580256	12263	s
10_AE1712_C14_N14_19_200m_v_NODE_936_length_12245_cov_15.469428	12245	s
10_AE1712_C14_N14_19_200m_v_NODE_939_length_12207_cov_25.967848	12207	s
10_AE1712_C14_N14_19_200m_v_NODE_945_length_12132_cov_7.013687	12132	s
10_AE1712_C14_N14_19_200m_v_NODE_947_length_12124_cov_6.580809	12124	s
10_AE1712_C14_N14_19_200m_v_NODE_951_length_12035_cov_12.930172	12035	s
10_AE1712_C14_N14_19_200m_v_NODE_952_length_12022_cov_23.037003	12022	s
10_AE1712_C14_N14_19_200m_v_NODE_957_length_11995_cov_9.396963	11995	s
10_AE1712_C14_N14_19_200m_v_NODE_958_length_11989_cov_14.256464	11989	s
10_AE1712_C14_N14_19_200m_v_NODE_959_length_11972_cov_5.902144	11972	s
10_AE1712_C14_N14_19_200m_v_NODE_967_length_11889_cov_10.179394	11889	s
10_AE1712_C14_N14_19_200m_v_NODE_970_length_11877_cov_11.886864	11877	s
10_AE1712_C14_N14_19_200m_v_NODE_971_length_11875_cov_21.341075	11875	s
10_AE1712_C14_N14_19_200m_v_NODE_973_length_11841_cov_10.606596	11841	s
10_AE1712_C14_N14_19_200m_v_NODE_979_length_11790_cov_12.950824	11790	s
10_AE1712_C14_N14_19_200m_v_NODE_983_length_11770_cov_12.112204	11770	s
10_AE1712_C14_N14_19_200m_v_NODE_985_length_11756_cov_10.438308	11756	s
10_AE1712_C14_N14_19_200m_v_NODE_987_length_11729_cov_10.982063	11729	s
10_AE1712_C14_N14_19_200m_v_NODE_997_length_11658_cov_9.773595	11658	s
10_AE1712_C14_N14_19_200m_v_NODE_999_length_11652_cov_7.492786	11652	s
10_AE1712_C14_N14_19_200m_v_NODE_1004_length_11598_cov_8.247288	11598	s
10_AE1712_C14_N14_19_200m_v_NODE_1009_length_11505_cov_10.135282	11505	s
10_AE1712_C14_N14_19_200m_v_NODE_1014_length_11454_cov_7.826668	11454	s
10_AE1712_C14_N14_19_200m_v_NODE_1017_length_11415_cov_37.680632	11415	s
10_AE1712_C14_N14_19_200m_v_NODE_1021_length_11392_cov_10.707556	11392	s
10_AE1712_C14_N14_19_200m_v_NODE_1025_length_11326_cov_7.397902	11326	s
10_AE1712_C14_N14_19_200m_v_NODE_1029_length_11304_cov_7.436002	11304	s
10_AE1712_C14_N14_19_200m_v_NODE_1033_length_11272_cov_12.788924	11272	s
10_AE1712_C14_N14_19_200m_v_NODE_1037_length_11265_cov_9.707812	11265	s
10_AE1712_C14_N14_19_200m_v_NODE_1038_length_11261_cov_6.022800	11261	s
10_AE1712_C14_N14_19_200m_v_NODE_1039_length_11257_cov_9.875134	11257	s
10_AE1712_C14_N14_19_200m_v_NODE_1041_length_11237_cov_39.377330	11237	s
10_AE1712_C14_N14_19_200m_v_NODE_1042_length_11236_cov_10.095259	11236	s
10_AE1712_C14_N14_19_200m_v_NODE_1046_length_11196_cov_11.773451	11196	s
10_AE1712_C14_N14_19_200m_v_NODE_1050_length_11162_cov_9.644475	11162	s
10_AE1712_C14_N14_19_200m_v_NODE_1051_length_11160_cov_9.608139	11160	s
10_AE1712_C14_N14_19_200m_v_NODE_1054_length_11108_cov_15.154836	11108	s
10_AE1712_C14_N14_19_200m_v_NODE_1061_length_11072_cov_8.985903	11072	s
10_AE1712_C14_N14_19_200m_v_NODE_1064_length_11065_cov_9.791136	11065	s
10_AE1712_C14_N14_19_200m_v_NODE_1068_length_11050_cov_7.456120	11050	s
10_AE1712_C14_N14_19_200m_v_NODE_1071_length_11031_cov_7.157751	11031	s
10_AE1712_C14_N14_19_200m_v_NODE_1072_length_11009_cov_15.146634	11009	s
10_AE1712_C14_N14_19_200m_v_NODE_1074_length_10991_cov_14.275334	10991	s
10_AE1712_C14_N14_19_200m_v_NODE_1075_length_10984_cov_13.539562	10984	s
10_AE1712_C14_N14_19_200m_v_NODE_1078_length_10977_cov_7.438532	10977	s
10_AE1712_C14_N14_19_200m_v_NODE_1079_length_10975_cov_10.386952	10975	s
10_AE1712_C14_N14_19_200m_v_NODE_1081_length_10957_cov_5.511581	10957	s
10_AE1712_C14_N14_19_200m_v_NODE_1082_length_10933_cov_8.649410	10933	s
10_AE1712_C14_N14_19_200m_v_NODE_1084_length_10933_cov_5.055545	10933	s
10_AE1712_C14_N14_19_200m_v_NODE_1085_length_10928_cov_7.570178	10928	s
10_AE1712_C14_N14_19_200m_v_NODE_1088_length_10909_cov_16.518741	10909	s
10_AE1712_C14_N14_19_200m_v_NODE_1089_length_10901_cov_4.914911	10901	s
10_AE1712_C14_N14_19_200m_v_NODE_1091_length_10887_cov_54.566605	10887	s
10_AE1712_C14_N14_19_200m_v_NODE_1092_length_10887_cov_10.331730	10887	s
10_AE1712_C14_N14_19_200m_v_NODE_1095_length_10867_cov_7.022799	10867	s
10_AE1712_C14_N14_19_200m_v_NODE_1096_length_10848_cov_7.502460	10848	s
10_AE1712_C14_N14_19_200m_v_NODE_1097_length_10838_cov_12.228882	10838	s
10_AE1712_C14_N14_19_200m_v_NODE_1099_length_10827_cov_14.443163	10827	s
10_AE1712_C14_N14_19_200m_v_NODE_1101_length_10824_cov_11.253094	10824	s
10_AE1712_C14_N14_19_200m_v_NODE_1106_length_10786_cov_9.864040	10786	s
10_AE1712_C14_N14_19_200m_v_NODE_1112_length_10703_cov_6.164408	10703	s
10_AE1712_C14_N14_19_200m_v_NODE_1119_length_10646_cov_11.928943	10646	s
10_AE1712_C14_N14_19_200m_v_NODE_1120_length_10631_cov_9.763691	10631	s
10_AE1712_C14_N14_19_200m_v_NODE_1125_length_10588_cov_14.059842	10588	s
10_AE1712_C14_N14_19_200m_v_NODE_1127_length_10579_cov_24.545706	10579	s
10_AE1712_C14_N14_19_200m_v_NODE_1130_length_10567_cov_21.184938	10567	s
10_AE1712_C14_N14_19_200m_v_NODE_1135_length_10532_cov_8.782975	10532	s
10_AE1712_C14_N14_19_200m_v_NODE_1141_length_10501_cov_9.215081	10501	s
10_AE1712_C14_N14_19_200m_v_NODE_1146_length_10451_cov_8.192211	10451	s
10_AE1712_C14_N14_19_200m_v_NODE_1149_length_10405_cov_12.142428	10405	s
10_AE1712_C14_N14_19_200m_v_NODE_1152_length_10399_cov_9.218659	10399	s
10_AE1712_C14_N14_19_200m_v_NODE_1154_length_10391_cov_19.033934	10391	s
10_AE1712_C14_N14_19_200m_v_NODE_1156_length_10369_cov_11.790420	10369	s
10_AE1712_C14_N14_19_200m_v_NODE_1158_length_10365_cov_7.579024	10365	s
10_AE1712_C14_N14_19_200m_v_NODE_1159_length_10364_cov_13.947021	10364	s
10_AE1712_C14_N14_19_200m_v_NODE_1164_length_10321_cov_9.104549	10321	s
10_AE1712_C14_N14_19_200m_v_NODE_1168_length_10291_cov_13.301841	10291	s
10_AE1712_C14_N14_19_200m_v_NODE_1170_length_10286_cov_9.027231	10286	s
10_AE1712_C14_N14_19_200m_v_NODE_1173_length_10273_cov_7.709886	10273	s
10_AE1712_C14_N14_19_200m_v_NODE_1175_length_10262_cov_6.362396	10262	s
10_AE1712_C14_N14_19_200m_v_NODE_1178_length_10238_cov_10.634485	10238	s
10_AE1712_C14_N14_19_200m_v_NODE_1181_length_10207_cov_10.114413	10207	s
10_AE1712_C14_N14_19_200m_v_NODE_1183_length_10187_cov_12.260040	10187	s
10_AE1712_C14_N14_19_200m_v_NODE_1184_length_10185_cov_151.796300	10185	s
10_AE1712_C14_N14_19_200m_v_NODE_1186_length_10176_cov_7.954352	10176	s
10_AE1712_C14_N14_19_200m_v_NODE_1187_length_10170_cov_7.646785	10170	s
10_AE1712_C14_N14_19_200m_v_NODE_1188_length_10169_cov_8.404578	10169	s
10_AE1712_C14_N14_19_200m_v_NODE_1190_length_10145_cov_12.981426	10145	s
10_AE1712_C14_N14_19_200m_v_NODE_1191_length_10142_cov_16.178539	10142	s
10_AE1712_C14_N14_19_200m_v_NODE_1192_length_10141_cov_6.535572	10141	s
10_AE1712_C14_N14_19_200m_v_NODE_1194_length_10132_cov_7.869915	10132	s
10_AE1712_C14_N14_19_200m_v_NODE_1196_length_10119_cov_9.295658	10119	s
10_AE1712_C14_N14_19_200m_v_NODE_1198_length_10118_cov_9.834080	10118	s
10_AE1712_C14_N14_19_200m_v_NODE_1200_length_10112_cov_15.985750	10112	s
10_AE1712_C14_N14_19_200m_v_NODE_1202_length_10094_cov_114.786363	10094	s
10_AE1712_C14_N14_19_200m_v_NODE_1203_length_10093_cov_25.489117	10093	s
10_AE1712_C14_N14_19_200m_v_NODE_1209_length_10054_cov_10.142528	10054	s
10_AE1712_C14_N14_19_200m_v_NODE_1212_length_10039_cov_11.035134	10039	s
10_AE1712_C14_N14_19_200m_v_NODE_1213_length_10038_cov_11.765987	10038	s
10_AE1712_C14_N14_19_200m_v_NODE_1214_length_10028_cov_5.549091	10028	s
10_AE1712_C14_N14_19_200m_v_NODE_1215_length_10022_cov_8.019206	10022	s
11_AE1712_C16_N1_7_80m_v_NODE_6_length_170105_cov_48.478509	170105	s
11_AE1712_C16_N1_7_80m_v_NODE_25_length_56347_cov_28.789959	56347	s
11_AE1712_C16_N1_7_80m_v_NODE_32_length_39265_cov_11.722670	39265	s
11_AE1712_C16_N1_7_80m_v_NODE_33_length_37265_cov_16.980451	37265	s
11_AE1712_C16_N1_7_80m_v_NODE_39_length_27950_cov_16.374448	27950	s
11_AE1712_C16_N1_7_80m_v_NODE_47_length_25112_cov_16.055642	25112	s
11_AE1712_C16_N1_7_80m_v_NODE_50_length_23327_cov_9.560860	23327	s
11_AE1712_C16_N1_7_80m_v_NODE_57_length_20844_cov_14.121972	20844	s
11_AE1712_C16_N1_7_80m_v_NODE_72_length_17486_cov_9.893274	17486	s
11_AE1712_C16_N1_7_80m_v_NODE_95_length_14904_cov_23.214136	14904	s
11_AE1712_C16_N1_7_80m_v_NODE_96_length_14887_cov_36.203849	14887	s
11_AE1712_C16_N1_7_80m_v_NODE_115_length_13792_cov_23.498068	13792	s
11_AE1712_C16_N1_7_80m_v_NODE_130_length_12668_cov_7.833929	12668	s
11_AE1712_C16_N1_7_80m_v_NODE_149_length_12167_cov_10.201820	12167	s
11_AE1712_C16_N1_7_80m_v_NODE_180_length_10956_cov_11.095046	10956	s
12_AE1712_C16_N8_14_200m_v_NODE_32_length_99585_cov_18.151033	99585	s
12_AE1712_C16_N8_14_200m_v_NODE_90_length_61866_cov_28.251857	61866	s
12_AE1712_C16_N8_14_200m_v_NODE_102_length_59251_cov_13.017541	59251	s
12_AE1712_C16_N8_14_200m_v_NODE_106_length_58649_cov_73.414567	58649	s
12_AE1712_C16_N8_14_200m_v_NODE_110_length_57039_cov_16.886187	57039	s
12_AE1712_C16_N8_14_200m_v_NODE_115_length_55136_cov_91.431101	55136	s
12_AE1712_C16_N8_14_200m_v_NODE_128_length_50616_cov_16.288668	50616	s
12_AE1712_C16_N8_14_200m_v_NODE_143_length_47365_cov_11.810163	47365	s
12_AE1712_C16_N8_14_200m_v_NODE_144_length_47362_cov_10.955229	47362	s
12_AE1712_C16_N8_14_200m_v_NODE_170_length_42823_cov_10.024213	42823	s
12_AE1712_C16_N8_14_200m_v_NODE_193_length_39214_cov_13.752945	39214	s
12_AE1712_C16_N8_14_200m_v_NODE_197_length_38839_cov_13.421392	38839	s
12_AE1712_C16_N8_14_200m_v_NODE_200_length_38517_cov_15.514516	38517	s
12_AE1712_C16_N8_14_200m_v_NODE_240_length_33347_cov_30.809167	33347	s
12_AE1712_C16_N8_14_200m_v_NODE_262_length_31308_cov_13.324485	31308	s
12_AE1712_C16_N8_14_200m_v_NODE_298_length_27702_cov_10.138425	27702	s
12_AE1712_C16_N8_14_200m_v_NODE_306_length_27191_cov_12.271852	27191	s
12_AE1712_C16_N8_14_200m_v_NODE_322_length_26453_cov_46.867228	26453	s
12_AE1712_C16_N8_14_200m_v_NODE_334_length_25618_cov_21.344427	25618	s
12_AE1712_C16_N8_14_200m_v_NODE_337_length_25435_cov_28.307083	25435	s
12_AE1712_C16_N8_14_200m_v_NODE_340_length_25150_cov_34.567662	25150	s
12_AE1712_C16_N8_14_200m_v_NODE_354_length_24069_cov_14.281719	24069	s
12_AE1712_C16_N8_14_200m_v_NODE_358_length_23922_cov_8.300356	23922	s
12_AE1712_C16_N8_14_200m_v_NODE_369_length_23185_cov_12.523455	23185	s
12_AE1712_C16_N8_14_200m_v_NODE_372_length_23099_cov_18.604682	23099	s
12_AE1712_C16_N8_14_200m_v_NODE_380_length_22692_cov_26.192616	22692	s
12_AE1712_C16_N8_14_200m_v_NODE_390_length_22219_cov_79.663039	22219	s
12_AE1712_C16_N8_14_200m_v_NODE_402_length_21430_cov_17.069405	21430	s
12_AE1712_C16_N8_14_200m_v_NODE_404_length_21371_cov_13.823143	21371	s
12_AE1712_C16_N8_14_200m_v_NODE_408_length_21172_cov_26.440057	21172	s
12_AE1712_C16_N8_14_200m_v_NODE_411_length_21032_cov_15.581866	21032	s
12_AE1712_C16_N8_14_200m_v_NODE_419_length_20711_cov_13.755888	20711	s
12_AE1712_C16_N8_14_200m_v_NODE_426_length_20516_cov_9.540731	20516	s
12_AE1712_C16_N8_14_200m_v_NODE_428_length_20415_cov_12.665503	20415	s
12_AE1712_C16_N8_14_200m_v_NODE_441_length_19948_cov_10.032560	19948	s
12_AE1712_C16_N8_14_200m_v_NODE_444_length_19727_cov_12.170840	19727	s
12_AE1712_C16_N8_14_200m_v_NODE_447_length_19580_cov_45.139517	19580	s
12_AE1712_C16_N8_14_200m_v_NODE_456_length_19398_cov_15.728275	19398	s
12_AE1712_C16_N8_14_200m_v_NODE_473_length_18931_cov_13.151692	18931	s
12_AE1712_C16_N8_14_200m_v_NODE_474_length_18772_cov_8.550789	18772	s
12_AE1712_C16_N8_14_200m_v_NODE_487_length_18373_cov_10.902055	18373	s
12_AE1712_C16_N8_14_200m_v_NODE_499_length_18092_cov_13.642409	18092	s
12_AE1712_C16_N8_14_200m_v_NODE_501_length_17988_cov_12.972587	17988	s
12_AE1712_C16_N8_14_200m_v_NODE_511_length_17817_cov_15.676156	17817	s
12_AE1712_C16_N8_14_200m_v_NODE_522_length_17523_cov_10.176774	17523	s
12_AE1712_C16_N8_14_200m_v_NODE_529_length_17365_cov_8.755437	17365	s
12_AE1712_C16_N8_14_200m_v_NODE_553_length_16671_cov_6.785404	16671	s
12_AE1712_C16_N8_14_200m_v_NODE_556_length_16563_cov_9.442618	16563	s
12_AE1712_C16_N8_14_200m_v_NODE_557_length_16550_cov_6.001943	16550	s
12_AE1712_C16_N8_14_200m_v_NODE_559_length_16482_cov_18.607254	16482	s
12_AE1712_C16_N8_14_200m_v_NODE_563_length_16409_cov_9.502143	16409	s
12_AE1712_C16_N8_14_200m_v_NODE_564_length_16341_cov_17.511313	16341	s
12_AE1712_C16_N8_14_200m_v_NODE_571_length_16244_cov_10.688625	16244	s
12_AE1712_C16_N8_14_200m_v_NODE_583_length_15922_cov_19.990155	15922	s
12_AE1712_C16_N8_14_200m_v_NODE_588_length_15755_cov_69.065697	15755	s
12_AE1712_C16_N8_14_200m_v_NODE_592_length_15706_cov_8.690575	15706	s
12_AE1712_C16_N8_14_200m_v_NODE_643_length_14649_cov_43.105751	14649	s
12_AE1712_C16_N8_14_200m_v_NODE_647_length_14583_cov_8.642562	14583	s
12_AE1712_C16_N8_14_200m_v_NODE_660_length_14352_cov_12.812609	14352	s
12_AE1712_C16_N8_14_200m_v_NODE_677_length_13948_cov_9.887607	13948	s
12_AE1712_C16_N8_14_200m_v_NODE_683_length_13889_cov_19.941283	13889	s
12_AE1712_C16_N8_14_200m_v_NODE_688_length_13817_cov_9.461426	13817	s
12_AE1712_C16_N8_14_200m_v_NODE_693_length_13707_cov_23.695525	13707	s
12_AE1712_C16_N8_14_200m_v_NODE_705_length_13576_cov_10.448033	13576	s
12_AE1712_C16_N8_14_200m_v_NODE_730_length_13103_cov_11.888454	13103	s
12_AE1712_C16_N8_14_200m_v_NODE_773_length_12523_cov_54.585570	12523	s
12_AE1712_C16_N8_14_200m_v_NODE_776_length_12504_cov_7.117003	12504	s
12_AE1712_C16_N8_14_200m_v_NODE_777_length_12437_cov_12.295307	12437	s
12_AE1712_C16_N8_14_200m_v_NODE_788_length_12232_cov_8.762320	12232	s
12_AE1712_C16_N8_14_200m_v_NODE_798_length_12125_cov_7.532371	12125	s
12_AE1712_C16_N8_14_200m_v_NODE_799_length_12085_cov_21.035476	12085	s
12_AE1712_C16_N8_14_200m_v_NODE_800_length_12080_cov_20.631592	12080	s
12_AE1712_C16_N8_14_200m_v_NODE_809_length_11917_cov_7.770439	11917	s
12_AE1712_C16_N8_14_200m_v_NODE_813_length_11885_cov_10.297510	11885	s
12_AE1712_C16_N8_14_200m_v_NODE_814_length_11848_cov_11.324866	11848	s
12_AE1712_C16_N8_14_200m_v_NODE_820_length_11788_cov_17.660576	11788	s
12_AE1712_C16_N8_14_200m_v_NODE_836_length_11565_cov_7.369951	11565	s
12_AE1712_C16_N8_14_200m_v_NODE_842_length_11516_cov_11.258676	11516	s
12_AE1712_C16_N8_14_200m_v_NODE_850_length_11454_cov_27.601740	11454	s
12_AE1712_C16_N8_14_200m_v_NODE_868_length_11216_cov_54.738935	11216	s
12_AE1712_C16_N8_14_200m_v_NODE_900_length_10814_cov_34.932104	10814	s
12_AE1712_C16_N8_14_200m_v_NODE_905_length_10765_cov_6.101703	10765	s
12_AE1712_C16_N8_14_200m_v_NODE_907_length_10747_cov_7.640862	10747	s
12_AE1712_C16_N8_14_200m_v_NODE_924_length_10573_cov_7.142245	10573	s
12_AE1712_C16_N8_14_200m_v_NODE_938_length_10498_cov_8.257749	10498	s
12_AE1712_C16_N8_14_200m_v_NODE_983_length_10115_cov_7.114963	10115	s
12_AE1712_C16_N8_14_200m_v_NODE_991_length_10030_cov_5.752537	10030	s
1_AE1712_C3_N1_7_80m_v_NODE_79_length_73671_cov_29.139930	73671	s
1_AE1712_C3_N1_7_80m_v_NODE_113_length_58572_cov_24.785640	58572	s
1_AE1712_C3_N1_7_80m_v_NODE_230_length_28195_cov_32.963795	28195	s
1_AE1712_C3_N1_7_80m_v_NODE_236_length_27643_cov_9.023217	27643	s
1_AE1712_C3_N1_7_80m_v_NODE_251_length_25536_cov_18.385168	25536	s
1_AE1712_C3_N1_7_80m_v_NODE_254_length_24965_cov_23.857160	24965	s
1_AE1712_C3_N1_7_80m_v_NODE_270_length_23396_cov_10.052447	23396	s
1_AE1712_C3_N1_7_80m_v_NODE_289_length_21368_cov_88.327274	21368	s
1_AE1712_C3_N1_7_80m_v_NODE_291_length_21171_cov_110.464397	21171	s
1_AE1712_C3_N1_7_80m_v_NODE_310_length_20172_cov_12.980791	20172	s
